"Data Source","World Development Indicators",

"Last Updated Date","2015-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Grenada","GRD","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","108000","108000","111000","116000","125000","129000","123000","132000","142000","134000","99000","119000","130000","130000","114000","110000","118000","116000","116000","","",
"Greenland","GRL","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guatemala","GTM","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1448000","1527000","1392000","1219000","1225000","1305000","1331000","","",
"Guam","GUM","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1362000","1373000","1382000","1137000","1162000","1287000","1159000","1059000","910000","1160000","1228000","1212000","1225000","1142000","1053000","1196000","1160000","1308000","1334000","","",
"Guyana","GUY","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","106000","92000","76000","66000","75000","105000","99000","104000","101000","122000","117000","113000","134000","130000","141000","152000","157000","177000","","","",
"High income","HIC","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","410175110.837716","431568311.287092","452503850.094812","465343740.441329","484804046.117346","516864933.593836","507114296.662631","515937812.215515","507199542.93646","538588032.08243","563321592.677948","592054154.202492","618049074.67025","616699005.107999","585127445.952925","618089617.299747","651630534.682639","676782710.917445","710605224.532002","","",
"Hong Kong SAR, China","HKG","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7137000","7837000","8814000","8878000","10689000","9676000","13655000","14773000","15821000","17154000","17319000","16926000","20085000","22316000","23770000","25661000","","",
"Honduras","HND","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","271000","263000","307000","321000","371000","471000","518000","550000","611000","641000","673000","739000","804000","869000","836000","863000","871000","895000","863000","","",
"Heavily indebted poor countries (HIPC)","HPC","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4697614.70656385","5356729.68202367","5758873.80829772","5835337.83230757","5967025.87365787","6237358.33419169","6568337.16231598","7252621.83337495","7720746.81183195","8953964.08793428","9907293.59770616","11506666.3088912","13077399.6588096","13955690.8828053","14268373.4023848","15583873.4311873","17533368.3780234","18854868.6879545","19336790.9634445","","",
"Croatia","HRV","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1485000","2914000","4178000","4499000","3805000","5831000","6544000","6944000","7409000","7912000","7743000","7988000","8559000","8665000","8694000","9111000","9927000","10369000","10955000","","",
"Haiti","HTI","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","145000","150000","149000","147000","143000","140000","142000","140000","136000","96000","112000","108000","386000","258000","387000","255000","349000","295000","","","",
"Hungary","HUN","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12212000","9979000","9259000","8638000","8814000","9058000","9510000","10250000","10353000","10675000","","",
"Indonesia","IDN","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4324000","5034000","5185000","4606000","4728000","5064000","5153000","5033000","4467000","5321000","5002000","4871000","5506000","6234000","6324000","7003000","7650000","8044000","8802000","","",
"Isle of Man","IMN","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"India","IND","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2124000","2288000","2374000","2359000","2482000","2649000","2537000","2384000","2726000","3457000","3919000","4447000","5082000","5283000","5168000","5776000","6309000","6578000","6968000","","",
"Not classified","INX","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ireland","IRL","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4818000","5289000","5587000","6064000","6403000","6646000","6353000","6476000","6764000","6953000","7333000","8001000","8332000","8026000","7189000","7134000","7630000","7550000","8260000","","",
"Iran, Islamic Rep.","IRN","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","489000","573000","764000","1008000","1321000","1342000","1402000","1585000","1546000","1659000","1889000","2735000","2219000","2034000","2116000","2938000","3354000","3834000","4769000","","",
"Iraq","IRQ","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61000","51000","15000","45000","30000","78000","127000","","","","","","","864000","1262000","1518000","1510000","1111000","892000","","",
"Iceland","ISL","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","190000","201000","202000","232000","263000","303000","301000","285000","317000","360000","374000","422000","485000","502000","494000","489000","566000","673000","800000","","",
"Israel","ISR","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2215000","2100000","2010000","1942000","2312000","2417000","1196000","862000","1063000","1506000","1903000","1825000","2067000","2572000","2321000","2803000","2820000","2886000","2962000","","",
"Italy","ITA","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31052000","32943000","34692000","34933000","36516000","41181000","39563000","39799000","39604000","37071000","36513000","41058000","43654000","42734000","43239000","43626000","46119000","46360000","47704000","","",
"Jamaica","JAM","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1147000","1162000","1192000","1225000","1248000","1323000","1277000","1266000","1350000","1415000","1479000","1679000","1701000","1767000","1831000","1922000","1952000","1986000","2008000","","",
"Jordan","JOR","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1075000","1106000","1132000","1772000","1790000","1580000","1672000","2384000","2353000","2853000","2987000","3225000","3431000","3729000","3789000","4207000","3960000","4162000","3945000","","",
"Japan","JPN","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3345000","3837000","4218000","4106000","4438000","4757000","4772000","5239000","5212000","6138000","6728000","7334000","8347000","8351000","6790000","8611000","6219000","8358000","10364000","","",
"Kazakhstan","KAZ","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1471000","1845000","2832000","2410000","3073000","3143000","3468000","3876000","3211000","2944000","3196000","4434000","4807000","4926000","","",
"Kenya","KEN","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","918000","947000","928000","792000","862000","899000","841000","838000","927000","1199000","1399000","1464000","1686000","1141000","1392000","1470000","1750000","1619000","1434000","","",
"Kyrgyz Republic","KGZ","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36000","42000","87000","59000","48000","59000","99000","140000","342000","398000","319000","766000","1656000","1844000","1394000","855000","2278000","2406000","3076000","","",
"Cambodia","KHM","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","220000","260000","219000","287000","368000","466000","605000","787000","701000","1055000","1422000","1700000","2015000","2125000","2162000","2508000","2882000","3584000","4210000","","",
"Kiribati","KIR","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3900","4200","5100","5700","5100","4800","4600","4900","4900","3400","4100","4400","4700","3900","3900","4700","5300","4900","5900","","",
"St. Kitts and Nevis","KNA","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79000","84000","88000","93000","84000","73000","71000","69000","91000","118000","141000","139000","123000","128000","93000","98000","102000","104000","107000","","",
"Korea, Rep.","KOR","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3753000","3684000","3908000","4250000","4660000","5322000","5147000","5347000","4753000","5818000","6023000","6155000","6448000","6891000","7818000","8798000","9795000","11140000","12176000","","",
"Kosovo","KSV","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Kuwait","KWT","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72000","76000","79000","77000","84000","78000","73000","96000","94000","91000","104000","185000","293000","259000","297000","207000","269000","300000","","","",
"Latin America & Caribbean (developing only)","LAC","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32631074.6307365","34423120.8554946","33444332.5560283","36365275.3698768","36961595.9724928","40048069.1605157","38676531.7744989","37615492.3574304","38315654.9960192","42678048.6458463","46312519.904894","47541145.974077","49432921.6789278","51696567.8259115","50615646.8483174","51886203.0851385","54254647.6648529","56154992.5783701","58011023.2341123","","",
"Lao PDR","LAO","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60000","93000","193000","200000","259000","191000","173000","215000","196000","407000","672000","842000","1142000","1295000","1239000","1670000","1786000","2140000","2510000","","",
"Lebanon","LBN","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","450000","424000","558000","631000","673000","742000","837000","956000","1016000","1278000","1140000","1063000","1017000","1333000","1844000","2168000","1655000","1366000","1274000","","",
"Liberia","LBR","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Libya","LBY","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43000","81000","42000","38000","34000","","","","","","","",
"St. Lucia","LCA","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","231000","236000","248000","252000","264000","270000","250000","253000","277000","298000","318000","303000","287000","296000","278000","306000","312000","307000","319000","","",
"Latin America & Caribbean (all income levels)","LCN","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47300500.0136588","49364830.7330536","49343337.949163","52531434.226265","52458768.1473969","55824947.4910208","54272349.7214016","51681957.5296375","53156771.8908908","59235135.8683254","63925680.0859686","65894828.4767051","68537417.4293464","71489733.7558919","69103436.6775643","71692098.1596795","75402780.0984391","78036522.759616","80030171.2667781","","",
"Least developed countries: UN classification","LDC","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4313670.28897951","5520452.78513779","5893483.70176332","5952429.92324433","6085067.17658229","6169304.85469404","6477589.70476022","7217226.24220815","7601215.39689615","9427732.60583785","10998116.2425791","13475326.2639028","15565080.4419041","16793959.3269536","16814691.810209","18689361.8195659","20666781.3590358","22944969.5270067","25811812.1746381","","",
"Low income","LIC","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5025276.68763843","5752326.86675032","5503246.28829887","6530866.68526084","6822982.12805206","6515217.64368274","7018550.14399863","7359387.87013601","7903251.67862959","8481568.39806847","8947913.15693513","11130665.8322545","12887954.0363132","13025673.5195764","13420855.6087865","14665384.2777915","16953050.7083786","17829870.4293014","18727355.8709868","","",
"Liechtenstein","LIE","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59000","56000","57000","59000","60000","62000","56000","49000","49000","49000","50000","55000","58000","58000","52000","50000","53000","54000","52000","","",
"Sri Lanka","LKA","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","403000","302000","366000","381000","436000","400000","337000","393000","501000","566000","549000","560000","494000","438000","448000","654000","856000","1006000","1275000","","",
"Lower middle income","LMC","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26177890.9045987","29552103.6968869","35816004.3337092","33659265.5697641","34653962.5469725","39867824.6781038","41874950.2941271","44977408.4207008","48627481.0137786","59983584.6064475","66057779.5513635","73127529.1158123","85213810.3190203","92884107.7864308","88236517.1432663","98905286.3031693","96122896.6333298","104958356.426468","112092698.767867","","",
"Low & middle income","LMY","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","130636166.852049","139960745.229064","147438803.451906","152396915.23761","158167794.819921","177761165.115533","186472222.194119","199015670.187544","198493868.643822","239555100.907409","259737079.031767","277647066.256288","313936928.865757","330817797.940424","322138959.0406","349273202.538029","360487601.865457","381147992.591597","398228677.967903","","",
"Lesotho","LSO","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","209000","312000","313000","290000","308000","302000","295000","287000","329000","304000","304000","357000","300000","293000","344000","426000","398000","423000","433000","","",
"Lithuania","LTU","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","650000","832000","1012000","1416000","1422000","1083000","1271000","1428000","1491000","1800000","2000000","2180000","1486000","1611000","1341000","1507000","1775000","1900000","2012000","","",
"Luxembourg","LUX","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","768000","724000","778000","789000","863000","852000","836000","885000","867000","878000","913000","908000","914000","877000","847000","805000","870000","950000","945000","","",
"Latvia","LVA","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","539000","565000","635000","576000","544000","509000","591000","848000","971000","1079000","1116000","1535000","1653000","1684000","1323000","1373000","1493000","1435000","1536000","","",
"Macao SAR, China","MAC","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4202000","4690000","3836000","4517000","5050000","5197000","5842000","6565000","6309000","8324000","9014000","10683000","12945000","10610000","10402000","11926000","12925000","13577000","14268000","","",
"St. Martin (French part)","MAF","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Morocco","MAR","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2602000","2693000","3072000","3095000","3817000","4278000","4380000","4453000","4761000","5477000","5843000","6558000","7408000","7879000","8341000","9288000","9342000","9375000","10046000","","",
"Monaco","MCO","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","233000","226000","259000","278000","278000","300000","270000","263000","235000","250000","286000","313000","328000","324000","265000","279000","295000","292000","328000","","",
"Moldova","MDA","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32000","29000","21000","19000","14000","18000","16000","18000","21000","24000","23000","13000","13000","7000","7000","8000","9000","11000","11500","","",
"Madagascar","MDG","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75000","83000","101000","121000","138000","160000","170000","62000","139000","229000","277000","312000","344000","375000","163000","196000","225000","256000","196000","","",
"Maldives","MDV","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","315000","339000","366000","396000","430000","467000","461000","485000","564000","617000","395000","602000","676000","683000","656000","792000","931000","958000","1125000","","",
"Middle East & North Africa (all income levels)","MEA","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28675630.4930894","29322147.2987731","31679740.1779432","34649591.5788539","39898847.0000977","44299952.0881943","43698775.6209489","48334944.6365937","50519230.7425099","60035234.1561329","63578674.9134517","70571871.1924052","79018167.0167553","90738268.8867395","88381081.054586","102291671.345477","91437102.8702076","94275761.3674347","94750774.6418324","","",
"Mexico","MEX","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20241000","21395000","19351000","19392000","19043000","20641000","19810000","19667000","18665000","20618000","21915000","21353000","21606000","22931000","22346000","23290000","23403000","23403000","24151000","","",
"Marshall Islands","MHL","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6000","6000","6000","6000","5000","5000","5000","6000","7000","9000","9000","6000","7000","6000","5400","4600","4600","4600","","","",
"Middle income","MIC","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","124357730.56545","132941959.322974","140486787.118211","144542723.406269","149980558.362617","169476283.086509","177633288.553243","189691908.424693","188726387.840269","228643052.821201","248111456.326624","264466403.751641","298771488.645748","315312244.429587","306413037.601238","332125583.09475","341240413.471635","360879043.974504","376972454.736127","","",
"Macedonia, FYR","MKD","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","147000","136000","121000","157000","181000","224000","99000","123000","158000","165000","197000","202000","230000","255000","259000","262000","327000","351000","400000","","",
"Mali","MLI","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42000","98000","75000","83000","82000","86000","89000","96000","110000","113000","143000","153000","164000","190000","160000","169000","160000","134000","142000","","",
"Malta","MLT","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1116000","1054000","1111000","1182000","1214000","1216000","1180000","1134000","1127000","1156000","1171000","1124000","1244000","1291000","1182000","1339000","1415000","1443000","1582000","","",
"Myanmar","MMR","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","194000","490000","491000","478000","435000","416000","475000","487000","597000","657000","660000","630000","716000","731000","763000","792000","816000","1059000","2044000","","",
"Middle East & North Africa (developing only)","MNA","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14558319.0356612","15341586.6398725","16751010.7247833","18327988.7218864","21318771.2983367","23614150.3830088","23431264.7402893","25504594.0101762","27007261.9826128","33103863.5657977","35235835.1060914","39506378.7177631","42505220.0071545","47326907.964382","49271745.8962836","57510865.0817091","46302684.2144516","50243650.6759269","49653825.9465073","","",
"Montenegro","MNE","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","136000","142000","188000","272000","378000","984000","1031000","1044000","1088000","1201000","1264000","1324000","","",
"Mongolia","MNG","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","108000","71000","55000","165000","138000","137000","166000","229000","201000","301000","338000","386000","452000","446000","433000","456000","460000","476000","418000","","",
"Northern Mariana Islands","MNP","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","669000","728000","685000","481000","493000","517000","438000","466000","452000","525000","498000","429000","385000","388000","345000","375000","336000","","","","",
"Mozambique","MOZ","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","323000","541000","441000","470000","578000","664000","771000","1193000","1461000","1718000","1902000","2113000","1886000","","",
"Mauritania","MRT","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24000","30000","","","","","","","","","","","","","","","",
"Mauritius","MUS","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","422000","487000","536000","558000","578000","656000","660000","682000","702000","719000","761000","788000","907000","930000","871000","935000","965000","965000","993000","","",
"Malawi","MWI","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","192000","194000","207000","220000","254000","228000","266000","383000","424000","427000","438000","638000","735000","742000","755000","746000","767000","770000","","","",
"Malaysia","MYS","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7469000","7138000","6211000","5551000","7931000","10222000","12775000","13292000","10577000","15703000","16431000","17547000","20973000","22052000","23646000","24577000","24714000","25033000","25715000","","",
"North America","NAC","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60809000","64312000","65924000","65617000","68275000","71197000","66884000","63922000","59009000","65503000","68247000","69541000","74376000","75413000","71076000","76461000","79071000","83233000","86594000","","",
"Namibia","NAM","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","272000","461000","502000","614000","635000","656000","670000","757000","695000","716000","778000","833000","929000","931000","980000","984000","1027000","1079000","1176000","","",
"New Caledonia","NCL","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86000","91000","105000","104000","100000","110000","101000","104000","102000","100000","101000","100000","103000","104000","99000","99000","112000","112000","108000","","",
"Niger","NER","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35000","68000","68000","41000","39000","50000","52000","39000","55000","57000","58000","60000","48000","73000","66000","74000","82000","94000","123000","","",
"Nigeria","NGA","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","656000","822000","611000","739000","776000","813000","850000","887000","924000","962000","1010000","1111000","1212000","1313000","1414000","1555000","715000","486000","600000","","",
"Nicaragua","NIC","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","281000","303000","358000","406000","468000","486000","483000","472000","526000","615000","712000","749000","800000","858000","932000","1011000","1060000","1180000","1229000","","",
"Netherlands","NLD","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6574000","6580000","7841000","9312000","9874000","10003000","9500000","9595000","9181000","9646000","10012000","10739000","11008000","10104000","9921000","10883000","11300000","11680000","12783000","","",
"High income: nonOECD","NOC","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62812763.3810381","73179906.2678455","77274089.7173699","77231245.0767778","82109483.1655148","91033999.1268025","94129566.4883899","100364363.487696","97490009.5875647","110901652.488455","115458347.610783","122537069.385845","132110829.369281","136033589.827195","126517580.406662","141330599.79122","154200419.679588","161872386.336847","170891492.470408","","",
"Norway","NOR","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2880000","2746000","2702000","3256000","3223000","3104000","3073000","3111000","3269000","3628000","3824000","4070000","4377000","4347000","4346000","4767000","4963000","","","","",
"Nepal","NPL","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","363000","394000","422000","464000","492000","464000","361000","275000","338000","385000","375000","384000","527000","500000","510000","603000","736000","803000","798000","","",
"New Zealand","NZL","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1475000","1596000","1780000","1900000","2026000","2086000","2325000","2353000","2390000","2434000","2371000","2373000","2435000","2511000","2473000","2629000","","",
"High income: OECD","OEC","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","347015079.741543","359051480.515455","376003930.047993","388584403.717611","403278937.524864","426544128.745176","413437818.925355","415755709.868782","409959917.302979","427640214.01611","447822000","469551000","486246000","481246000","458995000","477665000","498723000","516352437.8686","541265069.24356","","",
"OECD members","OED","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","374200079.61243","388345913.117289","404158104.176357","416621516.268835","428679886.590578","456372068.087001","443721323.302664","448002526.932143","441758751.737863","465041647.890037","490010000","509820000","533974000","533969000","511528000","532319000","556780000","575444369.600792","603201383.395583","","",
"Oman","OMN","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","829000","817000","1039000","1195000","896000","1116000","1271000","1374000","1521000","1442000","1018000","1438000","1551000","","",
"Other small states","OSS","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2734360.06971813","3253355.88900155","3485657.5111699","3873204.60766538","4087375.37151814","4537247.29347343","4653964.69387996","4923661.21132419","5430201.67515379","5721380.03288664","6165289.68014729","6384894.6841026","7710879.77472197","8125712.476525","8322785.22987499","8704953.93941007","9423670.64927931","9941060.37391445","10713415.8991715","","",
"Pakistan","PAK","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","378000","369000","375000","429000","432000","557000","500000","498000","501000","648000","798000","898000","840000","823000","855000","907000","1161000","966000","","","",
"Panama","PAN","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","345000","362000","421000","431000","457000","484000","519000","534000","566000","621000","702000","843000","1103000","1247000","1200000","1324000","1473000","1606000","1658000","","",
"Peru","PER","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","479000","584000","649000","726000","694000","800000","901000","1064000","1136000","1350000","1571000","1721000","1916000","2058000","2140000","2299000","2598000","2846000","3164000","","",
"Philippines","PHL","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1760000","2049000","2223000","2149000","2171000","1992000","1797000","1933000","1907000","2291000","2623000","2843000","3092000","3139000","3017000","3520000","3917000","4273000","4681000","","",
"Palau","PLW","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53000","69000","74000","64000","55000","58000","54000","59000","63000","89000","81000","82000","88000","79000","72000","86000","109000","119000","105000","","",
