"Data Source","World Development Indicators",

"Last Updated Date","2015-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Bulgaria","BGR","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3466000","2795000","2980000","2667000","2472000","2785000","3186000","3433000","4048000","4630000","4837000","5158000","5151000","5780000","5739000","6047000","6328000","6541000","6898000","","",
"Bahrain","BHR","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2311000","1988000","2600000","2898000","3280000","3869000","4388000","4831000","4844000","5667000","6313000","7289000","7833000","8631000","8861000","11952000","6732000","8062000","9163000","","",
"Bahamas, The","BHS","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1598000","1633000","1618000","1528000","1577000","1544000","1538000","1513000","1510000","1561000","1608000","1601000","1528000","1463000","1327000","1370000","1346000","1422000","1364000","","",
"Bosnia and Herzegovina","BIH","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","115000","148000","147000","171000","139000","160000","165000","190000","217000","256000","306000","322000","311000","365000","392000","439000","529000","","",
"Belarus","BLR","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","161000","234000","254000","355000","75000","60000","61000","63000","64000","68000","91000","90000","105000","92000","95000","120000","116000","119000","137000","","",
"Belize","BLZ","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","131000","133000","146000","176000","181000","196000","196000","200000","221000","231000","237000","247000","251000","245000","232000","242000","250000","277000","294000","","",
"Bermuda","BMU","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","387000","390000","380000","370000","355000","332000","278000","284000","257000","272000","270000","299000","306000","264000","236000","232000","236000","232000","236000","","",
"Bolivia","BOL","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","284000","313000","355000","387000","342000","319000","316000","334000","427000","480000","524000","521000","573000","594000","599000","679000","711000","798000","798000","","",
"Brazil","BRA","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1991000","2666000","2850000","4818000","5107000","5313000","4773000","3785000","4133000","4794000","5358000","5017000","5026000","5050000","4802000","5161000","5433000","5677000","5813000","","",
"Barbados","BRB","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","442000","447000","472000","512000","515000","545000","507000","498000","531000","552000","548000","563000","575000","568000","519000","532000","568000","536000","509000","","",
"Brunei Darussalam","BRN","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","119000","126000","158000","179000","226000","157000","214000","242000","209000","225000","","",
"Bhutan","BTN","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5000","5000","5000","6000","7000","8000","6000","6000","6000","9000","14000","17000","21000","28000","23000","41000","66000","105000","116000","","",
"Botswana","BWA","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","521000","512000","607000","750000","843000","1104000","1193000","1274000","1406000","1523000","1474000","1426000","1736000","2101000","2103000","2145000","","","","","",
"Central African Republic","CAF","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26000","21000","17000","7000","10000","11000","10000","3000","6000","8000","12000","14000","17000","31000","52000","54000","65000","71000","","","",
"Canada","CAN","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16932000","17286000","17669000","18870000","19411000","19627000","19679000","20057000","17534000","19145000","18771000","18265000","17935000","17142000","15737000","16219000","16014000","16344000","16590000","","",
"Central Europe and the Baltics","CEB","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60467935.4268674","66538000","65774000","67502000","68474000","68429000","63191000","65357000","69905000","73418000","76524848.0716848","","",
